iter	RMSE
344	83648.6606
345	83638.03895
346	83613.6744
347	83597.72225
348	83591.77281
349	83574.06512
350	83538.43127
351	83517.44318
352	83499.48474
353	83493.75273
354	83474.53579
355	83467.10939
356	83456.46938
357	83434.93145
358	83414.50485
359	83408.93193
360	83399.82886
361	83386.44417
362	83376.70944
363	83346.56237
364	83330.40682
365	83308.67671
366	83292.84997
367	83281.29148
368	83267.54128
369	83252.90531
370	83230.96631
371	83197.13891
372	83159.98345
373	83144.70496
374	83126.77678
375	83113.85967
376	83092.17052
377	83082.00976
378	83068.88348
379	83059.72795
380	83041.42819
381	83032.01964
382	83014.42998
383	83001.92022
384	82990.65942
385	82981.00537
386	82970.2062
387	82954.56511
388	82938.33879
389	82928.35718
390	82920.98487
391	82911.58605
392	82895.31056
393	82889.46597
394	82878.60076
395	82866.83947
396	82861.91841
397	82857.88459
398	82852.98974
399	82834.07079
400	82826.94766
401	82796.5336
402	82778.29271
403	82766.92958
404	82754.07429
405	82748.88525
406	82742.60351
407	82734.46581
408	82718.46784
409	82707.52606
410	82701.0918
411	82684.23118
412	82653.34206
413	82642.70816
414	82629.57018
415	82614.31793
416	82601.27127
417	82596.43562
418	82584.71022
419	82578.19297
420	82567.85524
421	82556.39864
422	82542.79897
423	82512.40108
424	82501.71239
425	82481.60364
426	82468.99117
427	82441.38469
428	82425.82144
429	82419.46061
430	82405.91595
431	82394.10414
432	82391.74321
433	82383.6471
434	82380.4494
435	82365.68668
436	82350.2257
437	82337.17038
438	82326.39745
439	82319.52912
440	82307.36833
441	82290.68402
442	82277.77079
443	82260.52838
444	82232.21277
445	82222.76583
446	82208.94542
447	82205.46868
448	82181.83532
449	82161.06252
450	82154.05706
451	82149.31634
452	82139.57143
453	82130.47728
454	82124.68491
455	82113.4066
456	82103.77675
457	82092.92832
458	82072.98073
459	82068.64867
460	82053.75396
461	82050.99724
462	82046.52588
463	82042.78249
464	82037.3745
465	82017.80316
466	82008.50889
467	81986.9292
468	81970.29698
469	81950.63305
470	81936.67179
471	81922.48641
472	81913.76452
473	81900.3868
474	81888.44292
475	81866.16634
476	81857.90135
477	81855.40696
478	81851.33156
479	81839.99347
480	81827.19383
481	81816.53602
482	81810.63948
483	81802.668
484	81788.30634
485	81781.33024
486	81773.37346
487	81756.19983
488	81754.04844
489	81735.60274
490	81718.36603
491	81709.2166
492	81700.20462
493	81687.38214
494	81683.92663
495	81677.46745
496	81666.35694
497	81650.63904
498	81633.94311
499	81618.51091
500	81605.7193
501	81581.74384
502	81567.28416
503	81554.18874
504	81542.55132
505	81528.2144
506	81523.61688
507	81522.08651
508	81514.82051
509	81508.2756
510	81501.81422
511	81498.49622
512	81471.51872
513	81464.60378
514	81459.69136
515	81451.06884
516	81446.59997
517	81435.09333
518	81424.21361
519	81413.37198
520	81402.72124
521	81396.33318
522	81391.1112
523	81379.58725
524	81373.37091
525	81362.98892
526	81356.35956
527	81350.01844
528	81335.05748
529	81315.96156
530	81309.64133
531	81308.8435
532	81300.94085
533	81289.12603
534	81285.78537
535	81275.56366
536	81255.15244
537	81242.35374
538	81234.91915
539	81230.47233
540	81224.2863
541	81210.91854
542	81196.22672
543	81193.5343
544	81189.19845
545	81176.51603
546	81170.60017
547	81158.85976
548	81145.56604
549	81136.24793
550	81130.25761
551	81126.30596
552	81120.44955
553	81115.11127
554	81103.47794
555	81084.88156
556	81075.07613
557	81064.65337
558	81063.25711
559	81047.90855
560	81043.12074
561	81025.94359
562	81019.88204
563	81011.36321
564	81000.20065
565	80984.89304
566	80978.59228
567	80965.83994
568	80955.55425
569	80943.07804
570	80933.82293
571	80929.27035
572	80918.5297
573	80912.4175
574	80908.54584
575	80901.55144
576	80888.95462
577	80886.80175
578	80877.56549
579	80864.85483
580	80852.43761
581	80846.47063
582	80833.4261
583	80821.43005
584	80814.66027
585	80803.93448
586	80803.10006
587	80790.65392
588	80782.09376
589	80775.86217
590	80768.78295
591	80761.33495
592	80755.13389
593	80741.1826
594	80737.8865
595	80730.18675
596	80721.57544
597	80714.03541
598	80711.95028
599	80704.60311
600	80700.2638
601	80691.81096
602	80687.39321
603	80672.07514
604	80660.03314
605	80655.51795
606	80648.61089
607	80644.94705
608	80643.39342
609	80636.71469
610	80629.68266
611	80622.92663
612	80605.69963
613	80600.75192
614	80589.04867
615	80583.91787
616	80569.20223
617	80567.71468
618	80561.35225
619	80551.44909
620	80543.73149
621	80529.64262
622	80521.77195
623	80514.77481
624	80492.13806
625	80491.61327
626	80479.56803
627	80465.0511
628	80452.95821
629	80439.35485
630	80432.91271
631	80410.61804
632	80409.73365
633	80401.10194
634	80391.15955
635	80385.76125
636	80374.61669
637	80368.13055
638	80358.75122
639	80351.13145
640	80339.44154
641	80330.39051
642	80323.40604
643	80315.00416
644	80311.26252
645	80302.22663
646	80286.58694
647	80276.19868
648	80268.54353
649	80265.69117
650	80256.63084
651	80239.88613
652	80230.04715
653	80223.53449
654	80207.61497
655	80206.471
656	80196.01451
657	80192.07176
658	80184.21264
659	80178.4424
660	80174.52461
661	80169.99916
662	80169.74395
663	80164.82107
664	80155.13655
665	80145.32057
666	80128.2418
667	80122.58996
668	80113.21427
669	80098.55842
670	80090.14089
671	80082.59214
672	80075.02449
673	80055.21063
674	80043.81749
675	80025.90037
676	80020.53732
677	80016.10219
678	80010.4819
679	80002.27234
680	79996.57909
681	79975.71212
682	79964.33579
683	79952.99853
684	79932.78207
685	79927.13165
686	79916.95167
687	79907.64755
688	79900.8662
689	79896.05459
690	79885.1522
691	79877.88156
692	79869.57831
693	79854.09176
694	79844.02454
695	79835.44731
696	79823.43221
697	79804.16925
698	79796.16884
699	79793.74052
700	79780.54592
701	79772.85152
702	79767.45405
703	79766.52592
704	79757.73388
705	79755.21846
706	79750.67516
707	79744.00689
708	79735.75527
709	79731.91752
710	79724.88233
711	79717.50532
712	79707.41944
713	79694.88568
714	79691.1925
715	79687.44371
716	79676.72782
717	79671.70258
718	79652.79475
719	79644.3084
720	79638.87838
721	79632.12359
722	79628.89208
723	79620.1724
724	79615.17572
725	79608.76578
726	79602.94976
727	79601.59762
728	79594.41172
729	79585.53636
730	79577.67338
731	79563.08132
732	79555.16269
733	79545.42827
734	79527.10179
735	79523.12427
736	79517.4664
737	79506.60727
738	79496.4015
739	79493.75745
740	79486.2393
741	79481.06745
742	79468.5664
743	79460.39086
744	79454.71574
745	79444.65503
746	79432.82047
747	79421.78467
748	79421.04025
749	79416.50111
750	79413.98757
751	79408.00904
752	79405.26776
753	79401.01453
754	79399.01527
755	79395.28489
756	79387.11389
757	79386.71305
758	79380.49301
759	79376.52798
760	79371.98261
761	79364.92572
762	79362.83932
763	79361.25144
764	79353.91766
765	79346.17645
766	79339.67304
767	79323.54392
768	79321.48837
769	79320.17023
770	79313.86986
771	79308.946
772	79302.83641
773	79292.55951
774	79288.3344
775	79286.48933
776	79276.37764
777	79268.17526
778	79264.27239
779	79251.06373
780	79243.72197
781	79230.02707
782	79222.17082
783	79210.52715
784	79204.89084
785	79201.3978
786	79198.55627
787	79189.66781
788	79182.6563
789	79175.8405
790	79170.48092
791	79164.44993
792	79159.89855
793	79155.38069
794	79149.19025
795	79140.66379
796	79133.10162
797	79124.10513
798	79111.41042
799	79106.09822
800	79097.3545
801	79091.08643
802	79088.39332
803	79084.84594
804	79074.20002
805	79070.64799
806	79069.24099
807	79060.43133
808	79047.32999
809	79041.81845
810	79039.65869
811	79029.08852
812	79014.56691
813	79011.99148
814	79008.48991
815	79005.35906
816	78996.02382
817	78976.21389
818	78975.00789
819	78968.66723
820	78965.79728
821	78961.83944
822	78960.16195
823	78952.77953
824	78939.85674
825	78935.28069
826	78932.00909
827	78926.18599
828	78922.2441
829	78913.71222
830	78903.46797
831	78898.37693
832	78896.78182
833	78888.26402
834	78884.25473
835	78878.06536
836	78875.17975
837	78870.16905
838	78868.66875
839	78866.68621
840	78861.47131
841	78858.36892
842	78849.19938
843	78834.4535
844	78824.95833
845	78817.95052
846	78815.72882
847	78804.50683
848	78802.12603
849	78798.32228
850	78791.66896
851	78790.80124
852	78788.46555
853	78780.85363
854	78778.23887
855	78776.55132
856	78772.65323
857	78767.13765
858	78760.02444
859	78752.73788
860	78749.93074
861	78745.37592
862	78742.53202
863	78741.08883
864	78735.75416
865	78729.01916
866	78727.54312
867	78720.75742
868	78709.53766
869	78708.50324
870	78707.97426
871	78698.81985
872	78693.81378
873	78689.41151
874	78680.34224
875	78665.88365
876	78662.52593
877	78658.35912
878	78653.63945
879	78645.16669
880	78636.6598
881	78623.17703
882	78616.67126
883	78604.73694
884	78599.44387
885	78596.98187
886	78591.82458
887	78584.49831
888	78578.9824
889	78573.7192
890	78567.33294
891	78566.15665
892	78561.50942
893	78558.55504
894	78553.82622
895	78549.43359
896	78546.6066
897	78541.3979
898	78535.80127
899	78523.80011
900	78514.69413
901	78514.01724
902	78501.60199
903	78495.6644
904	78486.44872
905	78480.54176
906	78469.28915
907	78461.76907
908	78458.54839
909	78444.87618
910	78440.10043
911	78431.44169
912	78424.39083
913	78421.08837
914	78413.70305
915	78401.73007
916	78393.87933
917	78389.99909
918	78381.0492
919	78372.76271
920	78365.13926
921	78361.43538
922	78352.47028
923	78345.92508
924	78340.85818
925	78338.16381
926	78331.42124
927	78328.83981
928	78323.50261
929	78321.85224
930	78317.79474
931	78315.17471
932	78312.38413
933	78305.99236
934	78299.94907
935	78296.14836
936	78294.4309
937	78281.82106
938	78276.71054
939	78274.2805
940	78263.31491
941	78262.3119
942	78261.15893
943	78256.18985
944	78251.60804
945	78247.72657
946	78245.88967
947	78238.78323
948	78237.94614
949	78236.98892
950	78232.39917
951	78226.01166
952	78216.5563
953	78205.49586
954	78199.88002
955	78196.72445
956	78188.92622
957	78181.43907
958	78177.06388
959	78173.37813
960	78165.51689
961	78158.89343
962	78148.23433
963	78141.58883
964	78136.43359
965	78133.04129
966	78130.9279
967	78125.98217
968	78122.78809
969	78117.5138
970	78111.12021
971	78105.53958
972	78104.57499
973	78101.07844
974	78100.4431
975	78092.029
976	78085.61613
977	78083.30316
978	78081.01826
979	78076.01514
980	78068.55938
981	78068.05909
982	78061.65126
983	78056.02197
984	78049.90518
985	78040.11617
986	78033.96531
987	78023.9219
988	78015.46665
989	78005.93783
990	78001.09228
991	77995.25646
992	77988.70751
993	77987.61548
994	77980.18641
995	77976.86185
996	77970.39456
997	77969.40703
998	77965.60018
999	77955.33468
.22435
