iter	Passed	Remaining
176	5459	25385
177	5488	25343
178	5516	25301
179	5544	25257
180	5574	25225
181	5603	25183
182	5627	25122
183	5656	25083
184	5682	25033
185	5708	24983
186	5737	24943
187	5763	24893
188	5789	24842
189	5819	24809
190	5840	24737
191	5876	24732
192	5910	24714
193	5929	24634
194	5953	24578
195	5987	24561
196	6012	24508
197	6038	24459
198	6077	24463
199	6103	24415
200	6128	24361
201	6163	24347
202	6188	24296
203	6217	24262
204	6251	24242
205	6282	24214
206	6311	24180
207	6341	24144
208	6366	24095
209	6389	24036
210	6418	24001
211	6447	23965
212	6464	23886
213	6485	23822
214	6514	23784
215	6536	23725
216	6565	23691
217	6588	23635
218	6615	23593
219	6644	23556
220	6663	23486
221	6688	23439
222	6716	23401
223	6739	23345
224	6760	23284
225	6780	23220
226	6809	23187
227	6832	23134
228	6860	23099
229	6887	23059
230	6910	23005
231	6932	22949
232	6954	22892
233	6981	22853
234	7009	22818
235	7033	22769
236	7061	22732
237	7094	22713
238	7119	22670
239	7149	22638
240	7172	22587
241	7197	22545
242	7219	22490
243	7251	22467
244	7280	22434
245	7299	22372
246	7336	22365
247	7359	22315
248	7385	22275
249	7412	22238
250	7439	22200
251	7463	22153
252	7495	22132
253	7529	22112
254	7557	22079
255	7582	22037
256	7619	22029
257	7638	21969
258	7674	21957
259	7704	21927
260	7728	21883
261	7754	21843
262	7779	21801
263	7810	21773
264	7850	21772
265	7870	21718
266	7898	21683
267	7922	21639
268	7957	21623
269	7980	21577
270	8011	21551
271	8032	21497
272	8055	21452
273	8089	21434
274	8125	21422
275	8152	21385
276	8173	21333
277	8199	21295
278	8230	21269
279	8262	21245
280	8284	21197
281	8309	21156
282	8333	21113
283	8362	21082
284	8393	21057
285	8422	21026
286	8468	21039
287	8501	21018
288	8547	21027
289	8571	20985
290	8600	20953
291	8621	20904
292	8645	20861
293	8673	20827
294	8694	20779
295	8721	20744
296	8750	20711
297	8776	20674
298	8806	20645
299	8830	20605
300	8856	20565
301	8877	20518
302	8903	20481
303	8936	20459
304	8953	20402
305	8989	20387
306	9011	20341
307	9034	20297
308	9056	20252
309	9079	20209
310	9107	20176
311	9133	20139
312	9169	20125
313	9190	20079
314	9216	20043
315	9248	20019
316	9273	19980
317	9296	19938
318	9333	19925
319	9358	19887
320	9384	19851
321	9413	19821
322	9440	19786
323	9468	19755
324	9503	19738
325	9529	19701
326	9551	19657
327	9577	19622
328	9603	19587
329	9628	19549
330	9653	19510
331	9679	19475
332	9705	19440
333	9733	19408
334	9777	19408
335	9809	19385
336	9830	19340
337	9851	19295
338	9870	19245
339	9889	19197
340	9908	19148
341	9925	19097
342	9942	19044
343	9959	18992
344	9976	18940
345	9992	18887
346	10008	18834
347	10023	18780
348	10040	18728
349	10053	18670
350	10069	18618
351	10083	18562
352	10098	18508
353	10114	18458
354	10132	18409
355	10147	18357
356	10161	18301
357	10178	18252
358	10194	18202
359	10228	18184
360	10254	18151
361	10286	18130
362	10315	18102
363	10348	18081
364	10380	18059
365	10405	18024
366	10436	18001
367	10468	17978
368	10508	17969
369	10533	17934
370	10560	17904
371	10604	17902
372	10641	17888
373	10662	17847
374	10690	17816
375	10716	17785
376	10736	17742
377	10759	17705
378	10785	17673
379	10805	17629
380	10834	17602
381	10859	17568
382	10891	17545
383	10919	17517
384	10949	17490
385	10978	17463
386	11007	17435
387	11041	17416
388	11063	17376
389	11084	17337
390	11107	17300
391	11137	17274
392	11172	17255
393	11195	17219
394	11216	17179
395	11251	17161
396	11275	17125
397	11299	17090
398	11324	17057
399	11350	17026
400	11376	16994
401	11411	16975
402	11446	16957
403	11480	16935
404	11503	16900
405	11535	16876
406	11560	16843
407	11589	16815
408	11617	16786
409	11659	16778
410	11683	16744
411	11714	16718
412	11741	16687
413	11771	16661
414	11803	16639
415	11833	16612
416	11867	16591
417	11898	16566
418	11927	16538
419	11948	16499
420	11971	16463
421	11992	16426
422	12038	16420
423	12065	16390
424	12098	16368
425	12132	16347
426	12153	16309
427	12182	16280
428	12205	16245
429	12233	16216
430	12264	16190
431	12288	16157
432	12316	16127
433	12343	16098
434	12366	16062
435	12390	16028
436	12424	16007
437	12456	15982
438	12482	15951
439	12507	15919
440	12527	15880
441	12552	15846
442	12584	15823
443	12612	15794
444	12640	15764
445	12671	15740
446	12697	15708
447	12717	15669
448	12737	15631
449	12769	15607
450	12785	15563
451	12821	15544
452	12847	15513
453	12877	15486
454	12902	15454
455	12933	15428
456	12960	15398
457	12986	15368
458	13011	15335
459	13032	15299
460	13062	15272
461	13108	15265
462	13142	15243
463	13161	15204
464	13182	15167
465	13207	15134
466	13236	15107
467	13264	15078
468	13292	15050
469	13317	15017
470	13352	14996
471	13385	14973
472	13410	14941
473	13426	14899
474	13451	14867
475	13487	14848
476	13522	14826
477	13549	14796
478	13576	14766
479	13602	14736
480	13631	14708
481	13657	14677
482	13682	14645
483	13716	14623
484	13739	14589
485	13770	14564
486	13799	14536
487	13824	14504
488	13843	14465
489	13863	14429
490	13890	14399
491	13910	14363
492	13939	14335
493	13958	14297
494	13985	14268
495	14009	14235
496	14034	14203
497	14055	14168
498	14081	14137
499	14104	14104
500	14128	14072
501	14153	14040
502	14186	14016
503	14210	13985
504	14232	13950
505	14259	13921
506	14278	13884
507	14299	13849
508	14324	13817
509	14343	13780
510	14371	13752
511	14400	13725
512	14443	13711
513	14463	13675
514	14491	13646
515	14521	13621
516	14557	13599
517	14591	13577
518	14624	13554
519	14644	13518
520	14675	13492
521	14700	13461
522	14736	13440
523	14767	13414
524	14803	13393
525	14831	13365
526	14857	13334
527	14892	13313
528	14929	13293
529	14966	13272
530	15008	13256
531	15043	13233
532	15076	13209
533	15109	13185
534	15136	13155
535	15181	13141
536	15233	13133
537	15279	13120
538	15308	13093
539	15344	13071
540	15373	13043
541	15414	13025
542	15460	13011
543	15484	12979
544	15520	12957
545	15547	12928
546	15583	12905
547	15629	12891
548	15679	12880
549	15720	12862
550	15757	12840
551	15782	12809
552	15804	12775
553	15829	12743
554	15857	12714
555	15878	12679
556	15899	12645
557	15924	12613
558	15944	12578
559	15989	12562
560	16021	12536
561	16053	12511
562	16079	12480
563	16102	12447
564	16126	12416
565	16150	12383
566	16176	12353
567	16202	12323
568	16222	12287
569	16244	12254
570	16269	12223
571	16287	12186
572	16309	12153
573	16330	12119
574	16354	12088
575	16381	12058
576	16407	12028
577	16430	11995
578	16449	11960
579	16471	11927
580	16491	11893
581	16516	11862
582	16537	11828
583	16552	11791
584	16571	11756
585	16589	11720
586	16606	11683
587	16642	11660
588	16673	11634
589	16705	11608
590	16736	11582
591	16761	11551
592	16786	11521
593	16803	11485
594	16818	11448
595	16836	11412
596	16860	11381
597	16886	11351
598	16906	11318
599	16921	11281
600	16940	11246
601	16963	11215
602	16989	11185
603	17014	11155
604	17044	11128
605	17069	11098
606	17094	11067
607	17118	11036
608	17148	11009
609	17171	10978
610	17192	10945
611	17213	10913
612	17233	10880
613	17260	10850
614	17279	10817
615	17296	10782
616	17312	10746
617	17326	10710
618	17346	10676
619	17362	10641
620	17377	10605
621	17389	10568
622	17411	10536
623	17429	10502
624	17444	10466
625	17465	10434
626	17479	10398
627	17495	10363
628	17511	10328
629	17529	10294
630	17552	10264
631	17573	10232
632	17585	10195
633	17608	10165
634	17626	10131
635	17645	10099
636	17661	10064
637	17684	10034
638	17698	9998
639	17710	9962
640	17723	9926
641	17732	9888
642	17748	9854
643	17760	9817
644	17769	9780
645	17780	9743
646	17791	9706
647	17801	9670
648	17811	9633
649	17825	9598
650	17835	9561
651	17846	9525
652	17855	9488
653	17865	9451
654	17876	9415
655	17885	9378
656	17895	9342
657	17905	9306
658	17913	9269
659	17922	9232
660	17931	9196
661	17938	9159
662	17945	9121
663	17955	9085
664	17962	9048
665	17971	9012
666	17978	8975
667	17986	8939
668	17996	8903
669	18005	8868
670	18014	8832
671	18020	8795
672	18027	8759
673	18034	8722
674	18043	8687
675	18049	8651
676	18056	8614
677	18063	8578
678	18070	8542
679	18076	8506
680	18084	8471
681	18091	8435
682	18098	8399
683	18106	8364
684	18112	8329
685	18119	8293
686	18125	8258
687	18132	8223
688	18140	8188
689	18147	8153
690	18154	8118
691	18161	8083
692	18174	8051
693	18181	8016
694	18188	7981
695	18194	7947
696	18201	7912
697	18207	7877
698	18214	7843
699	18220	7808
700	18226	7774
701	18232	7739
702	18238	7705
703	18244	7671
704	18250	7636
705	18257	7602
706	18263	7568
707	18269	7534
708	18275	7500
709	18282	7467
710	18288	7433
711	18294	7400
712	18301	7366
713	18307	7333
714	18313	7299
715	18319	7266
716	18325	7233
717	18331	7199
718	18338	7166
719	18344	7133
720	18350	7101
721	18356	7068
722	18362	7035
723	18369	7002
724	18375	6970
725	18381	6937
726	18386	6904
727	18392	6871
728	18398	6839
729	18404	6807
730	18410	6774
731	18416	6742
732	18422	6710
733	18428	6678
734	18434	6646
735	18440	6614
736	18446	6582
737	18452	6550
738	18459	6519
739	18467	6488
740	18474	6457
741	18480	6425
742	18488	6394
743	18495	6363
744	18501	6332
745	18508	6301
746	18516	6271
747	18522	6240
748	18529	6209
749	18536	6178
750	18543	6148
751	18553	6118
752	18561	6088
753	18569	6058
754	18576	6027
755	18585	5998
756	18594	5968
757	18605	5940
758	18612	5909
759	18620	5880
760	18626	5849
761	18633	5820
762	18640	5790
763	18647	5760
764	18656	5731
765	18663	5701
766	18670	5671
767	18677	5642
768	18684	5612
769	18690	5582
770	18697	5553
771	18704	5524
772	18711	5494
773	18719	5465
774	18725	5436
775	18731	5406
776	18737	5377
777	18743	5348
778	18749	5319
779	18755	5290
780	18761	5260
781	18768	5232
782	18774	5203
783	18779	5174
784	18785	5145
785	18791	5116
786	18798	5087
787	18804	5059
788	18810	5030
789	18816	5001
790	18822	4973
791	18828	4944
792	18836	4916
793	18842	4888
794	18848	4860
795	18854	4832
796	18860	4803
797	18866	4775
798	18872	4747
799	18878	4719
800	18884	4691
801	18890	4663
802	18896	4635
803	18902	4608
804	18908	4580
805	18914	4552
806	18920	4524
807	18926	4497
808	18932	4469
809	18938	4442
810	18944	4414
811	18950	4387
812	18956	4360
813	18963	4333
814	18969	4306
815	18975	4278
816	18982	4251
817	18988	4224
818	18994	4197
819	19000	4170
820	19007	4144
821	19012	4117
822	19018	4090
823	19024	4063
824	19030	4036
825	19036	4010
826	19042	3983
827	19048	3957
828	19054	3930
829	19061	3904
830	19067	3877
831	19073	3851
832	19079	3825
833	19084	3798
834	19091	3772
835	19097	3746
836	19103	3720
837	19109	3694
838	19115	3668
839	19120	3642
840	19127	3616
841	19132	3590
842	19139	3564
843	19145	3538
844	19151	3513
845	19157	3487
846	19163	3461
847	19170	3436
848	19176	3410
849	19181	3385
850	19187	3359
851	19193	3334
852	19199	3308
853	19205	3283
854	19211	3258
855	19217	3232
856	19223	3207
857	19229	3182
858	19235	3157
859	19241	3132
860	19247	3107
861	19253	3082
862	19259	3057
863	19264	3032
864	19270	3007
865	19276	2982
866	19282	2957
867	19287	2933
868	19293	2908
869	19299	2883
870	19305	2859
871	19311	2834
872	19317	2810
873	19323	2785
874	19328	2761
875	19334	2736
876	19340	2712
877	19346	2688
878	19351	2663
879	19357	2639
880	19363	2615
881	19369	2591
882	19376	2567
883	19382	2543
884	19389	2519
885	19395	2495
886	19401	2471
887	19407	2447
888	19413	2423
889	19419	2400
890	19425	2376
891	19429	2352
892	19434	2328
893	19440	2305
894	19446	2281
895	19452	2257
896	19458	2234
897	19464	2210
898	19471	2187
899	19478	2164
900	19484	2140
901	19490	2117
902	19497	2094
903	19503	2071
904	19509	2047
905	19515	2024
906	19522	2001
907	19527	1978
908	19532	1955
909	19538	1932
910	19544	1909
911	19549	1886
912	19554	1863
913	19560	1840
914	19566	1817
915	19571	1794
916	19577	1772
917	19583	1749
918	19588	1726
919	19594	1703
920	19600	1681
921	19604	1658
922	19610	1635
923	19615	1613
924	19619	1590
925	19624	1568
926	19629	1545
927	19634	1523
928	19639	1500
929	19643	1478
930	19647	1456
931	19652	1433
932	19656	1411
933	19661	1389
934	19666	1367
935	19671	1345
936	19675	1322
937	19680	1300
938	19685	1278
939	19689	1256
940	19693	1234
941	19697	1212
942	19702	1190
943	19706	1169
944	19710	1147
945	19715	1125
946	19719	1103
947	19724	1081
948	19728	1060
949	19732	1038
950	19736	1016
951	19741	995
952	19745	973
953	19749	952
954	19753	930
955	19758	909
956	19763	888
957	19767	866
958	19771	845
959	19775	823
960	19779	802
961	19784	781
962	19788	760
963	19792	739
964	19797	718
965	19801	696
966	19805	675
967	19809	654
968	19813	633
969	19817	612
970	19821	592
971	19826	571
972	19830	550
973	19834	529
974	19837	508
975	19841	487
976	19845	467
977	19850	446
978	19854	425
979	19858	405
980	19862	384
981	19866	364
982	19870	343
983	19874	323
984	19878	302
985	19883	282
986	19887	261
987	19892	241
988	19896	221
989	19901	201
990	19905	180
991	19909	160
992	19914	140
993	19918	120
994	19922	100
995	19927	80
996	19931	59
997	19936	39
998	19940	19
999	19945	0
999	22788	0
